Brochure_Name_En,Geo_Unit_En,Period_Id,Datum
"Reported cases of malaria, total",Guadeloupe,2000,7
"Reported cases of malaria, total",Guadeloupe,2001,7
"Reported cases of malaria, total",Guadeloupe,2002,12
"Reported cases of malaria, total",Guadeloupe,2004,7
"Reported cases of malaria, total",Guadeloupe,2006,6
"Reported cases of malaria, total",Guadeloupe,2008,12
"Reported cases of malaria, total",Guadeloupe,2009,0
"Reported cases of malaria, total",Guadeloupe,2010,8
"Reported cases of malaria, total",Guadeloupe,2011,1
"Reported cases of malaria, total",Guadeloupe,2012,2
"Reported cases of malaria, total",Guadeloupe,2014,1
"Reported cases of malaria, total",Guadeloupe,2015,1
"Reported cases of malaria, total",Guadeloupe,2016,2
"Reported cases of malaria, total",French Guiana,1990,5909
"Reported cases of malaria, total",French Guiana,1991,3573
"Reported cases of malaria, total",French Guiana,1992,4072
"Reported cases of malaria, total",French Guiana,1993,3974
"Reported cases of malaria, total",French Guiana,1994,4241
"Reported cases of malaria, total",French Guiana,1995,4711
"Reported cases of malaria, total",French Guiana,1996,4724
"Reported cases of malaria, total",French Guiana,1997,3195
"Reported cases of malaria, total",French Guiana,1998,3462
"Reported cases of malaria, total",French Guiana,1999,5307
"Reported cases of malaria, total",French Guiana,2000,3708
"Reported cases of malaria, total",French Guiana,2001,3823
"Reported cases of malaria, total",French Guiana,2002,3661
"Reported cases of malaria, total",French Guiana,2003,3839
"Reported cases of malaria, total",French Guiana,2004,3038
"Reported cases of malaria, total",French Guiana,2005,3414
"Reported cases of malaria, total",French Guiana,2006,4074
"Reported cases of malaria, total",French Guiana,2007,4828
"Reported cases of malaria, total",French Guiana,2008,3265
"Reported cases of malaria, total",French Guiana,2009,3462
"Reported cases of malaria, total",French Guiana,2010,1599
"Reported cases of malaria, total",French Guiana,2011,1209
"Reported cases of malaria, total",French Guiana,2012,900
"Reported cases of malaria, total",French Guiana,2013,875
"Reported cases of malaria, total",French Guiana,2014,448
"Reported cases of malaria, total",French Guiana,2015,434
"Reported cases of malaria, total",French Guiana,2016,258
